x,y,planta,planta-numero,id,id_vell,DN,OD mm,WT mm,material,area m2,Flow velocity ms,volume flow rate m3s,volume flow rate m3h
1873.0,986.0,sil-pel,sil-pel-03,P-30303,P303,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1872.0,944.0,sil-pel,sil-pel-02,P-30402,P304,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1920.0,1000.0,sil-pel,sil-pel-04,P-500304,SI5003,32,42.2,3.2,inox,0.001194590606527519,,0.0,0.0
,,V-700/V-800,V-700/V-800-02,V-70002,V700,100,114.0,5.0,acer,0.009331315579325082,,0.0,0.0
983.0,952.0,V-700/V-800,V-700/V-800-01,V-70001,V700800,150,168.3,5.0,acer,0.020944126429521787,,0.0,0.0
,,V-700/V-800,V-700/V-800-03,V-80003,V800,100,114.0,4.5,acer,0.009417120328676254,,0.0,0.0
1035.0,1023.0,V-700/V-800,V-700/V-800-04,V-71004,VI710,65,73.0,3.6,acer,0.003782760298260934,,0.0,0.0
1031.0,931.0,V-700/V-800,V-700/V-800-06,V-81006,VI810,65,76.1,3.6,acer,0.004128249096357837,,0.0,0.0
,,V-700/V-800,V-700/V-800-05,V-71005,VR710,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
,,V-700/V-800,V-700/V-800-07,V-81007,VR810,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
,,,-01,R-70101,EI701,100,114.0,4.5,acer,0.009417120328676254,,0.0,0.0
,,,-02,R-70102,EI701,80,88.9,4.0,acer,0.005661157815750442,,0.0,0.0
