Filename,DEVICE,MODE,DATE,TIME,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Storage Rate,Physic. Quant.,Unit Of Measure,Numb.Of Meas.Val,MEASURE_Avg,MEASURE_Median,MEASURE_Mode,MEASURE_Max,MEASURE_Min,SSPEED_Avg,SSPEED_Median,SSPEED_Mode,SSPEED_Max,SSPEED_Min
260507_0913_47.19_220.csv,G 608ST-60802901,STORED,07.05.2026,09:13:42,,: B:47.19,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],192,-48.7153,-48.96,-45.43,-45.43,-51.13,648.6,13,11,1529.6,11
260507_0921_47.08_323.csv,G 608ST-60802901,STORED,07.05.2026,09:21:09,,: B:47.08,323.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,197.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],87,652.301,652.52,652.48,699.56,622.34,1503.7713,1502.7,1501.9,1528.8,1499
260507_0923_47.08_323.csv,G 608ST-60802901,STORED,07.05.2026,09:23:20,,: B:47.08,323.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,197.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],175,-658.5009,-661.6,-677.1,-623.7,-701.48,1461.3223,1502.9,1500.8,1511.6,33
260507_0926_47.08_323.csv,G 608ST-60802901,STORED,07.05.2026,09:26:38,,: B:47.08,323.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,197.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],76,659.8977,650.245,656.9,803.84,626.51,1333.5289,1507.5,1507.5,1516.4,13
260507_0928_47.08_323.csv,G 608ST-60802901,STORED,07.05.2026,09:28:05,,: B:47.08,323.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,197.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],100,-660.1445,-659.2,-681.44,-637.41,-686.17,1448.249,1508.15,1506,1510.7,13
260507_0929_47.08_323.csv,G 608ST-60802901,STORED,07.05.2026,09:29:55,,: B:47.08,323.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,197.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],111,669.4979,669.12,634.43,719.44,628.95,1333.1964,1505.4,1507.9,1516.4,11
260507_1034_4700_114.csv,G 608ST-60802901,STORED,07.05.2026,10:34:35,,: B:4700,114.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,36.1 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],71,-33.9916,-34.03,-25.33,-25.33,-39.39,1430.7493,1560.5,1560.5,1585.2,11
260507_1036_4700_114.csv,G 608ST-60802901,STORED,07.05.2026,10:36:06,,: B:4700,114.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,36.1 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],142,33.324,33.73,37.33,37.33,28.74,826.181,1476.4,13,1573.3,11
260507_1042_4811_76.csv,G 608ST-60802901,STORED,07.05.2026,10:42:43,,: B:4811,76.1 mm,3.6 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,5.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],41,-21.1983,-21.11,-21.55,-19.92,-22.91,1335.1,1521.8,13,1552.5,13
260507_1044_4711_76.csv,G 608ST-60802901,STORED,07.05.2026,10:44:58,,: B:4711,76.1 mm,3.6 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,5.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],99,-18.5994,-18.33,-22.49,-14.9,-22.49,1150.5727,1667.1,31,1854.8,12
260507_1046_4711_76.csv,G 608ST-60802901,STORED,07.05.2026,10:46:53,,: B:4711,76.1 mm,3.6 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,5.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],70,18.9666,18.595,20.11,20.88,17.97,1587.3343,1584,1559.3,1665.1,1546.1
