Date,A Mass flow rate [kg/h]
12/9/2025 12:37:03 PM,104014.929199219
12/9/2025 12:37:04 PM,103667.493438721
12/9/2025 12:37:05 PM,103437.721252441
12/9/2025 12:37:06 PM,101583.263397217
12/9/2025 12:37:07 PM,100564.233398438
12/9/2025 12:37:08 PM,100368.216705322
12/9/2025 12:37:09 PM,99157.3379516602
12/9/2025 12:37:10 PM,98832.918548584
12/9/2025 12:37:11 PM,98413.1927490234
12/9/2025 12:37:12 PM,98387.2444152832
12/9/2025 12:37:13 PM,97325.7522583008
12/9/2025 12:37:14 PM,97351.8241882324
12/9/2025 12:37:15 PM,97556.6780090332
12/9/2025 12:37:16 PM,97254.2037963867
12/9/2025 12:37:17 PM,96163.4330749512
12/9/2025 12:37:18 PM,95493.1228637695
12/9/2025 12:37:19 PM,95814.6858215332
12/9/2025 12:37:20 PM,95954.0405273438
12/9/2025 12:37:21 PM,95493.4524536133
12/9/2025 12:37:22 PM,95456.5727233887
12/9/2025 12:37:23 PM,95510.9962463379
12/9/2025 12:37:24 PM,95290.4388427734
12/9/2025 12:37:25 PM,94283.2672119141
12/9/2025 12:37:26 PM,94062.5930786133
12/9/2025 12:37:27 PM,93197.7767944336
12/9/2025 12:37:28 PM,93197.7767944336
12/9/2025 12:37:29 PM,92431.3087463379
12/9/2025 12:37:30 PM,92306.5246582031
12/9/2025 12:37:31 PM,92084.2300415039
12/9/2025 12:37:32 PM,91835.5819702148
12/9/2025 12:37:33 PM,91269.5594787598
12/9/2025 12:37:34 PM,90998.3894348145
12/9/2025 12:37:35 PM,90730.9959411621
12/9/2025 12:37:36 PM,90980.9280395508
12/9/2025 12:37:37 PM,91510.9909057617
12/9/2025 12:37:38 PM,92063.6856079102
12/9/2025 12:37:39 PM,92354.6928405762
12/9/2025 12:37:40 PM,92794.8875427246
12/9/2025 12:37:41 PM,93207.307434082
12/9/2025 12:37:42 PM,93722.5250244141
12/9/2025 12:37:43 PM,93827.0805358887
12/9/2025 12:37:44 PM,94063.9251708984
12/9/2025 12:37:45 PM,94484.1110229492
12/9/2025 12:37:46 PM,94567.2431945801
12/9/2025 12:37:47 PM,94201.522064209
12/9/2025 12:37:48 PM,94477.3132324219
12/9/2025 12:37:49 PM,94477.9930114746
12/9/2025 12:37:50 PM,94643.2891845703
12/9/2025 12:37:51 PM,95140.111541748
12/9/2025 12:37:52 PM,95425.309753418
12/9/2025 12:37:53 PM,95076.7478942871
12/9/2025 12:37:54 PM,95420.5444335938
12/9/2025 12:37:55 PM,95435.3004455566
12/9/2025 12:37:56 PM,94896.4828491211
12/9/2025 12:37:57 PM,94869.3809509277
12/9/2025 12:37:58 PM,94627.970123291
12/9/2025 12:37:59 PM,94668.7637329102
12/9/2025 12:38:00 PM,94549.2668151855
12/9/2025 12:38:01 PM,94667.6513671875
12/9/2025 12:38:02 PM,94517.9489135742
12/9/2025 12:38:03 PM,94596.3569641113
12/9/2025 12:38:04 PM,94797.3793029785
12/9/2025 12:38:05 PM,94748.6686706543
12/9/2025 12:38:06 PM,94316.0545349121
12/9/2025 12:38:07 PM,93352.0935058594
12/9/2025 12:38:08 PM,92958.2473754883
12/9/2025 12:38:09 PM,92765.1145935059
12/9/2025 12:38:10 PM,92678.1303405762
12/9/2025 12:38:11 PM,93315.9141540527
12/9/2025 12:38:12 PM,93823.4962463379
