t_stamp,TT101
01/12/2025,65.30000305
01/12/2025,65.30000305
01/12/2025,65.30000305
01/12/2025,65.30000305
01/12/2025,65.40000153
01/12/2025,65.40000153
01/12/2025,65.30000305
01/12/2025,65.30000305
01/12/2025,65.40000153
01/12/2025,65.40000153
01/12/2025,65.30000305
01/12/2025,65.5
01/12/2025,65.5
01/12/2025,65.59999847
01/12/2025,65.69999695
01/12/2025,65.69999695
01/12/2025,65.80000305
01/12/2025,65.90000153
01/12/2025,65.90000153
01/12/2025,66.09999847
01/12/2025,66.09999847
01/12/2025,66.30000305
01/12/2025,66.30000305
01/12/2025,66.30000305
01/12/2025,66.40000153
01/12/2025,66.40000153
01/12/2025,66.40000153
01/12/2025,66.5
01/12/2025,66.59999847
01/12/2025,66.69999695
01/12/2025,66.69999695
01/12/2025,66.80000305
01/12/2025,66.80000305
01/12/2025,66.80000305
01/12/2025,66.90000153
01/12/2025,67
01/12/2025,67.19999695
01/12/2025,67.30000305
01/12/2025,67.30000305
01/12/2025,67.40000153
01/12/2025,67.40000153
01/12/2025,67.40000153
01/12/2025,67.40000153
01/12/2025,67.40000153
01/12/2025,67.59999847
01/12/2025,67.59999847
01/12/2025,67.80000305
01/12/2025,67.90000153
01/12/2025,68
01/12/2025,68.09999847
01/12/2025,68.09999847
01/12/2025,68.09999847
01/12/2025,68.09999847
01/12/2025,68.09999847
01/12/2025,68.19999695
01/12/2025,68.19999695
01/12/2025,68.19999695
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.19999695
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.40000153
01/12/2025,68.30000305
01/12/2025,68.40000153
01/12/2025,68.30000305
01/12/2025,68.40000153
01/12/2025,68.30000305
01/12/2025,68.40000153
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.30000305
01/12/2025,68.40000153
01/12/2025,68.40000153
01/12/2025,68.40000153
01/12/2025,68.40000153
01/12/2025,68.40000153
01/12/2025,68.09999847
01/12/2025,67.30000305
01/12/2025,66.59999847
01/12/2025,66.09999847
01/12/2025,65.59999847
01/12/2025,65
01/12/2025,64.59999847
01/12/2025,63.79999924
