source,target,OD,DN,WT,area m2,cabal m3h,cabal m3s,velocitat ms
V-700/V-800,SR-710,60.3,50.0,3,0.0023157386307957424,,0.0,0.0
V-700/V-800,SR-810,60.3,50.0,3,0.0023157386307957424,,0.0,0.0
V-700/V-800,VI-710,73,73.0,3,0.003525652355491146,17.13467045,0.004759630680555556,1.3500000001822385
V-700/V-800,VI-810,76.1,65.0,3,0.0038594544289166943,25.38085957,0.007050238769444444,1.826744919339122
E-900/E-1000,EI-906,139.7,125.0,3,0.014039534095462129,150.0,0.041666666666666664,2.967809785093524
E-900/E-1000,EI-1006,139.7,125.0,3,0.014039534095462129,44.0,0.012222222222222223,0.8705575369607671
E-900/E-1000,EI-901,88.9,80.0,3,0.005397578192114258,47.0,0.013055555555555556,2.41878025493534
E-900/E-1000,EI-1001,88.9,80.0,3,0.005397578192114258,67.0,0.01861111111111111,3.448048448524846
EI-7x2,EI-752,88.9,80.0,3,0.005397578192114258,4.412492546,0.001225692373888889,0.2270819116024291
EI-7x2,EI-772,76.1,65.0,3,0.0038594544289166943,12.50206221,0.0034727950583333333,0.8998150184942352
BV-109,Y-120,129,129.0,3,0.011882288814039995,0.0,0.0,0.0
BV-109,Y-160,129,129.0,3,0.011882288814039995,75.0,0.020833333333333332,1.7533097923622991
BV-109,Y-170,114,100.0,3,0.009160884177867836,72.0,0.02,2.183195378489648
