source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real,vel_real,vel_teo-real,error
5700.01,5701.0,10.0,SS-700B,5701.0,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692,0.5403940699811345,0.4596059300188655,0.8505014313626917
12.0,4600.01,15.0,LIQ-LIQ,4600.01,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-1.5775799450568027,1.1175331973369298,-0.1175331973369298,0.1051719963371202
4600.01,4671.0,15.0,LIQ-LIQ,4671.0,32.0,43.0,3.2,0.0366,0.0010520879637606858,1,0.0010520879637606858,1.0520879637606857,3.7875166695384688,-11.21248333046153,3.9603786091924547,-2.9603786091924547,0.7474988886974354
4600.01,4670.0,0.0,LIQ-LIQ,4670.0,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,31.17245310524472,0.0,1.0,0.0
16.0,4600.02,25.0,LIQ-LIQ,4600.02,125.0,139.7,5.0,0.12969999999999998,0.013212038590506577,1,0.013212038590506577,13.212038590506577,47.56333892582368,22.56333892582368,0.5256149077126016,0.47438509228739845,0.902533557032947
4600.02,4651.0,25.0,LIQ-LIQ,4651.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-17.027740544210516,3.1358738559173345,-2.1358738559173345,0.6811096217684206
17.0,4501.0,10.0,P-600,4501.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163,1.254349542366934,-0.25434954236693397,0.2027740544210517
9.0,4700.01,50.0,V-700/V-800,4700.01,150.0,168.3,5.0,0.15830000000000002,0.019681206182778688,1,0.019681206182778688,19.681206182778688,70.85234225800328,20.852342258003276,0.7056929722651779,0.2943070277348221,0.41704684516006557
4700.01,4700.02,40.0,V-700/V-800,4700.02,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-8.82754689475528,1.2831842224592218,-0.2831842224592218,0.220688672368882
4700.02,4810.0,20.0,V-700/V-800,4810.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-6.577579945056803,1.4900442631159065,-0.49004426311590654,0.3288789972528402
4700.02,4710.0,20.0,V-700/V-800,4710.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-6.577579945056803,1.4900442631159065,-0.49004426311590654,0.3288789972528402
4700.01,4740.0,10.0,V-700/V-800,4740.0,25.0,33.7,3.2,0.027300000000000005,0.0005853493971984844,1,0.0005853493971984844,0.5853493971984843,2.107257829914544,-7.892742170085456,4.7455037812841026,-3.7455037812841026,0.7892742170085456
4700.02,4711.0,0.0,V-700/V-800,4711.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
4700.02,4811.0,0.0,V-700/V-800,4811.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
10.0,3900.01,300.0,E-900/E-1000,3900.01,204.0,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-186.90266447076743,2.652582384864922,-1.652582384864922,0.6230088815692247
3900.01,3900.02,200.0,E-900/E-1000,3900.02,204.0,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-86.90266447076743,1.7683882565766147,-0.7683882565766147,0.43451332235383716
3900.02,3900.03,100.0,E-900/E-1000,3900.03,155.0,155.0,2.0,0.151,0.017907863523625216,1,0.017907863523625216,17.907863523625217,64.46830868505077,-35.53169131494923,1.5511497360436954,-0.5511497360436954,0.35531691314949215
3900.01,31001.0,100.0,E-900/E-1000,31001.0,88.9,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-79.6198318632984,4.906730863516046,-3.906730863516046,0.7961983186329841
3900.02,3901.0,100.0,E-900/E-1000,3901.0,88.9,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-79.6198318632984,4.906730863516046,-3.906730863516046,0.7961983186329841
3900.03,31006.0,50.0,E-900/E-1000,31006.0,139.7,139.7,2.0,0.1357,0.014462706625900674,1,0.014462706625900674,14.462706625900674,52.065743853242424,2.0657438532424237,0.9603243188253464,0.03967568117465359,0.04131487706484852
3900.03,3906.0,50.0,E-900/E-1000,3906.0,139.7,139.7,2.0,0.1357,0.014462706625900674,1,0.014462706625900674,14.462706625900674,52.065743853242424,2.0657438532424237,0.9603243188253464,0.03967568117465359,0.04131487706484852
19.0,3800.01,120.0,E-800,3800.01,155.0,155.0,2.0,0.151,0.017907863523625216,1,0.017907863523625216,17.907863523625217,64.46830868505077,-55.53169131494923,1.8613796832524347,-0.8613796832524347,0.46276409429124354
