Filename,POINTNAME,Type,DATE,TIME,Average,Median,Mode,Maximum,Minimum,DEVICE,MODE,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Physic. Quant.,Numb.Of Meas.Val,c-Material,Kinem.Viscosity,Density,Storage Rate
251202_0955_3906_Type4.csv,3906,Type4,251202,955,-137.6675,-137.7919,-138.8812,-134.8639,-139.6957,,,,,,,,,,,,,,,,,,,,,,,
251202_0956_3906_Type4.csv,3906,Type4,251202,956,140.4105,140.5389,137.2721,141.9929,137.2721,,,,,,,,,,,,,,,,,,,,,,,
251202_1000_31006_Type4.csv,31006,Type4,251202,1000,46.4031,46.0385,43.6404,52.2411,40.4549,,,,,,,,,,,,,,,,,,,,,,,
251202_1003_31006_Type4.csv,31006,Type4,251202,1003,47.4822,47.4134,47.7799,54.4614,44.5151,,,,,,,,,,,,,,,,,,,,,,,
251202_1006_3900.03_Type4.csv,3900.03,Type4,251202,1006,212.7363,213.4371,207.585,216.4713,204.111,,,,,,,,,,,,,,,,,,,,,,,
251202_1008_3900.03_Type4.csv,3900.03,Type4,251202,1008,210.8905,211.1329,208.0971,214.2461,205.1625,,,,,,,,,,,,,,,,,,,,,,,
251202_1021_3900.03_Type4.csv,3900.03,Type4,251202,1021,138.4253,140.0658,139.1633,147.712,125.6828,,,,,,,,,,,,,,,,,,,,,,,
251202_1024_3900.03_Type4.csv,3900.03,Type4,251202,1024,88.2805,138.4854,139.4121,144.1958,-16.5699,,,,,,,,,,,,,,,,,,,,,,,
251202_1027_3906_Type4.csv,3906,Type4,251202,1027,133.8419,134.4159,121.6206,141.2605,118.9502,,,,,,,,,,,,,,,,,,,,,,,
251202_1030_3906_Type4.csv,3906,Type4,251202,1030,138.6413,138.3852,138.3343,143.2378,136.1813,,,,,,,,,,,,,,,,,,,,,,,
251202_1033_3906_Type4.csv,3906,Type4,251202,1033,42.3249,45.3515,43.2317,49.6133,17.0118,,,,,,,,,,,,,,,,,,,,,,,
251202_1037_3906_Type4.csv,3906,Type4,251202,1037,49.0952,49.1065,55.7843,55.7843,44.5118,,,,,,,,,,,,,,,,,,,,,,,
251202_1039_3900.03_Type4.csv,3900.03,Type4,251202,1039,176.054,192.3676,148.1935,237.1059,143.0449,,,,,,,,,,,,,,,,,,,,,,,
251202_1050_3900.01_Type4.csv,3900.01,Type4,251202,1050,101.131,140.0767,0,165.9977,0,,,,,,,,,,,,,,,,,,,,,,,
251202_1050_3900.03_Type4.csv,3900.03,Type4,251202,1050,101.131,140.0767,0,165.9977,0,,,,,,,,,,,,,,,,,,,,,,,
251202_1101_3900.01_Type4.csv,3900.01,Type4,251202,1101,162.343,213.8185,0,219.0557,0,,,,,,,,,,,,,,,,,,,,,,,
251202_1101_3900.03_Type4.csv,3900.03,Type4,251202,1101,162.343,213.8185,0,219.0557,0,,,,,,,,,,,,,,,,,,,,,,,
251203_1131_8105_Type4.csv,8105,Type4,251203,1131,235.4245,233.1445,236.0883,273.353,222.2875,,,,,,,,,,,,,,,,,,,,,,,
251203_1131_8107_Type4.csv,8107,Type4,251203,1131,235.4245,233.1445,236.0883,273.353,222.2875,,,,,,,,,,,,,,,,,,,,,,,
251203_1136_8106_Type4.csv,8106,Type4,251203,1136,223.0856,223.1658,223.3002,227.1071,217.7686,,,,,,,,,,,,,,,,,,,,,,,
251203_1138_8108_Type4.csv,8108,Type4,251203,1138,238.1415,236.1904,238.8724,250.1569,228.9922,,,,,,,,,,,,,,,,,,,,,,,
251203_1142_8104_Type4.csv,8104,Type4,251203,1142,226.0253,226.1042,235.5579,237.7816,217.5198,,,,,,,,,,,,,,,,,,,,,,,
251204_0000_573-01_Type4.csv,573-01,Type4,251204,0,0.2237,0.2245,0.2252,0.2305,0.2149,,,,,,,,,,,,,,,,,,,,,,,
251204_0118_3800.01_Type4.csv,3800.01,Type4,251204,118,45.9859,46.043,44.4013,47.5453,44.4013,,,,,,,,,,,,,,,,,,,,,,,
251204_0119_3800.01_Type4.csv,3800.01,Type4,251204,119,47.1407,47.0866,48.8496,48.8496,46.0511,,,,,,,,,,,,,,,,,,,,,,,
251204_0121_3800.01_Type4.csv,3800.01,Type4,251204,121,45.8757,45.7678,46.9405,48.849,42.6055,,,,,,,,,,,,,,,,,,,,,,,
251204_1318_3800.01_Type4.csv,3800.01,Type4,251204,1318,45.9859,46.043,44.4013,47.5453,44.4013,,,,,,,,,,,,,,,,,,,,,,,
251204_1319_3800.01_Type4.csv,3800.01,Type4,251204,1319,47.1407,47.0866,48.8496,48.8496,46.0511,,,,,,,,,,,,,,,,,,,,,,,
251204_1321_3800.01_Type4.csv,3800.01,Type4,251204,1321,45.8757,45.7678,46.9405,48.849,42.6055,,,,,,,,,,,,,,,,,,,,,,,
251204_1414_573-01_Type4.csv,573-01,Type4,251204,1414,0.2237,0.2245,0.2252,0.2305,0.2149,,,,,,,,,,,,,,,,,,,,,,,
251205_0000_573-01_Type4.csv,573-01,Type4,251205,0,0.177,0.1778,0.2063,0.2374,0.0818,,,,,,,,,,,,,,,,,,,,,,,
251205_0445_573-01_Type4.csv,573-01,Type4,251205,445,0.177,0.1778,0.2063,0.2374,0.0818,,,,,,,,,,,,,,,,,,,,,,,
251209_0000_8104_Type4.csv,8104,Type4,251209,0,164.5843,165.146,156.2572,174.1642,150.2502,,,,,,,,,,,,,,,,,,,,,,,
251209_0000_8105_Type4.csv,8105,Type4,251209,0,158.2284,157.3288,152.737,169.0709,150.0909,,,,,,,,,,,,,,,,,,,,,,,
251209_0000_8106_Type4.csv,8106,Type4,251209,0,148.043,148.0919,147.97,149.328,144.9094,,,,,,,,,,,,,,,,,,,,,,,
251209_0000_8108_Type4.csv,8108,Type4,251209,0,233.2296,230.1225,251.8936,254.2132,213.9627,,,,,,,,,,,,,,,,,,,,,,,
251209_1035_3100.01_Type4.csv,3100.01,Type4,251209,1035,119.9628,121.6648,125.4524,129.9585,106.0969,,,,,,,,,,,,,,,,,,,,,,,
251209_1038_3100.01_Type4.csv,3100.01,Type4,251209,1038,119.9628,121.6648,125.4524,129.9585,106.0969,,,,,,,,,,,,,,,,,,,,,,,
251209_1042_3100.01_Type4.csv,3100.01,Type4,251209,1042,102.7912,101.7257,101.1604,110.6468,96.8277,,,,,,,,,,,,,,,,,,,,,,,
251209_1105_3100.03_Type4.csv,3100.03,Type4,251209,1105,89.6111,89.6025,93.2394,97.1287,86.1313,,,,,,,,,,,,,,,,,,,,,,,
251209_1223_3100.01_Type4.csv,3100.01,Type4,251209,1223,-100.1567,-99.6696,-105.7347,-93.9949,-108.2261,,,,,,,,,,,,,,,,,,,,,,,
251209_1224_3100.01_Type4.csv,3100.01,Type4,251209,1224,123.7802,125.6752,104.4005,130.745,104.4005,,,,,,,,,,,,,,,,,,,,,,,
251209_1231_3100.03_Type4.csv,3100.03,Type4,251209,1231,-82.5671,-82.8892,-75.6529,-75.6529,-86.5087,,,,,,,,,,,,,,,,,,,,,,,
251209_1235_3100.03_Type4.csv,3100.03,Type4,251209,1235,-95.4363,-95.3129,-97.0169,-91.9645,-101.1653,,,,,,,,,,,,,,,,,,,,,,,
251209_1236_3100.03_Type4.csv,3100.03,Type4,251209,1236,100.1067,97.5567,111.5766,112.0152,90.731,,,,,,,,,,,,,,,,,,,,,,,
251209_1238_3100.03_Type4.csv,3100.03,Type4,251209,1238,-92.2793,-94.056,-82.0471,-70.7435,-109.5697,,,,,,,,,,,,,,,,,,,,,,,
251209_1240_3100.03_Type4.csv,3100.03,Type4,251209,1240,92.2315,92.808,84.1907,98.2375,84.1907,,,,,,,,,,,,,,,,,,,,,,,
251209_1253_3150_Type4.csv,3150,Type4,251209,1253,28.1549,28.4456,27.1426,32.3309,20.8983,,,,,,,,,,,,,,,,,,,,,,,
251209_1255_3150_Type4.csv,3150,Type4,251209,1255,4.0161,0.9253,0,29.9628,-0.6104,,,,,,,,,,,,,,,,,,,,,,,
251209_1302_3150_Type4.csv,3150,Type4,251209,1302,5.8537,0.3698,0,25.6525,-1.0488,,,,,,,,,,,,,,,,,,,,,,,
251209_1315_3100.03_Type4.csv,3100.03,Type4,251209,1315,-94.1551,-93.8221,-97.936,-90.7048,-97.936,,,,,,,,,,,,,,,,,,,,,,,
251209_1317_3100.03_Type4.csv,3100.03,Type4,251209,1317,101.9774,101.7672,101.1407,105.5864,99.8609,,,,,,,,,,,,,,,,,,,,,,,
251209_1320_3102_Type4.csv,3102,Type4,251209,1320,-22.0097,-22.061,-22.4071,-21.0711,-23.1435,,,,,,,,,,,,,,,,,,,,,,,
251209_1321_3102_Type4.csv,3102,Type4,251209,1321,23.7652,23.8369,22.9627,25.3155,18.6356,,,,,,,,,,,,,,,,,,,,,,,
251209_1331_8105_Type4.csv,8105,Type4,251209,1331,158.2284,157.3288,152.737,169.0709,150.0909,,,,,,,,,,,,,,,,,,,,,,,
251209_1335_8106_Type4.csv,8106,Type4,251209,1335,148.043,148.0919,147.97,149.328,144.9094,,,,,,,,,,,,,,,,,,,,,,,
251209_1337_8104_Type4.csv,8104,Type4,251209,1337,164.5843,165.146,156.2572,174.1642,150.2502,,,,,,,,,,,,,,,,,,,,,,,
251209_1341_8108_Type4.csv,8108,Type4,251209,1341,233.2296,230.1225,251.8936,254.2132,213.9627,,,,,,,,,,,,,,,,,,,,,,,
251209_1343_8106_Type4.csv,8106,Type4,251209,1343,211.3131,211.6835,208.5028,213.1789,207.5647,,,,,,,,,,,,,,,,,,,,,,,
251209_1348_8104_Type4.csv,8104,Type4,251209,1348,225.5734,219.7461,221.0525,278.5423,214.2227,,,,,,,,,,,,,,,,,,,,,,,
251209_1352_8105_Type4.csv,8105,Type4,251209,1352,226.301,224.8008,230.6607,233.2564,221.6508,,,,,,,,,,,,,,,,,,,,,,,
251209_1356_8105_Type4.csv,8105,Type4,251209,1356,224.8084,225.7322,220.5035,227.6926,215.7998,,,,,,,,,,,,,,,,,,,,,,,
251211_0000_573-04_Type5.csv,573-04,Type5,251211,0,-0.0106,-0.0108,-0.0096,-0.0089,-0.0113,,,,,,,,,,,,,,,,,,,,,,,
260108_1119_3806_Type6.csv,3806,Type6,260108,1119,32.899,32.8597,32.8283,33.4432,32.2124,,,,,,,,,,,,,,,,,,,,,,,
260108_1124_3801_Type6.csv,3801,Type6,260108,1124,10.1776,10.2229,10.2634,10.512,9.879,,,,,,,,,,,,,,,,,,,,,,,
260205_0000_573-03_Type4.csv,573-03,Type4,260205,0,0.5217,0.4931,0.3574,1.2704,0.0162,,,,,,,,,,,,,,,,,,,,,,,
260205_1314_573-03_Type4.csv,573-03,Type4,260205,1314,0.5217,0.4931,0.3574,1.2704,0.0162,,,,,,,,,,,,,,,,,,,,,,,
260206_1423_3800.01_Type6.csv,3800.01,Type6,260206,1423,49.4224,48.0193,46.3998,56.752,44.4953,,,,,,,,,,,,,,,,,,,,,,,
260206_1553_3900.02_Type6.csv,3900.02,Type6,260206,1553,205.212,220.3973,232.1347,248.088,118.4052,,,,,,,,,,,,,,,,,,,,,,,
260206_1616_3900.02_Type6.csv,3900.02,Type6,260206,1616,176.0099,200.8039,218.8553,218.8553,112.1481,,,,,,,,,,,,,,,,,,,,,,,
