Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Supply temperature [°C]	A Return temperature [°C]	A Temp. diff. (return-supply) [K]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held
46	10/7/2025 10:11:01 AM		NaN	NaN	NaN	NaN	NaN	∞	63	77	29	105.790000915527	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
47	10/7/2025 10:11:11 AM		NaN	NaN	NaN	NaN	NaN	∞	63	78	29	105.790000915527	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
48	10/7/2025 10:11:21 AM		0.166999995708466	8.25531464070082	NaN	NaN	NaN	∞	63	78	29	105.790000915527	0	2.28732204996049	-15	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
49	10/7/2025 10:11:31 AM		0.165000006556511	8.15887833014131	NaN	NaN	NaN	∞	63	78	29	105.790000915527	0	2.25992915220559	-15	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
50	10/7/2025 10:11:41 AM		0.164000004529953	8.1258611753583	NaN	NaN	NaN	∞	64	79	29	105.790000915527	0	2.24623249378055	-15	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
51	10/7/2025 10:11:51 AM		0.180999994277954	8.93814554437995	NaN	NaN	NaN	∞	64	79	29	105.790000915527	0	2.47907359153032	-15	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
52	10/7/2025 10:12:01 AM		0.203999996185303	10.1009678095579	NaN	NaN	NaN	∞	65	79	29	105.790000915527	0	2.79409401118755	-16	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
53	10/7/2025 10:12:11 AM		0.178000003099442	8.79873521625996	NaN	NaN	NaN	∞	66	79	29	105.790000915527	0	2.43798403535038	-16	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
54	10/7/2025 10:12:21 AM		0.190999999642372	9.43065360188484	NaN	NaN	NaN	∞	66	80	29	105.790000915527	0	2.61603912804276	-15	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
55	10/7/2025 10:12:31 AM		0.216999992728233	10.7210719026625	NaN	NaN	NaN	∞	66	80	29	105.790000915527	0	2.97214910387993	-14	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
56	10/7/2025 10:12:41 AM		0.384999990463257	19.0270610153675	NaN	NaN	NaN	∞	66	80	29	105.790000915527	0	5.27316760271788	-16	-2	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
57	10/7/2025 10:12:51 AM		NaN	NaN	NaN	NaN	NaN	∞	67	81	30	104.300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
58	10/7/2025 10:13:01 AM		NaN	NaN	NaN	NaN	NaN	∞	67	81	29	105.790000915527	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
59	10/7/2025 10:13:11 AM		NaN	NaN	NaN	NaN	NaN	∞	68	81	30	104.300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
60	10/7/2025 10:13:21 AM		NaN	NaN	NaN	NaN	NaN	∞	68	81	30	104.300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
61	10/7/2025 10:13:31 AM		NaN	NaN	NaN	NaN	NaN	∞	68	82	30	104.300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
