t_stamp,TT201,TT101,TT301,TT401
01/12/2025,64.59999847,60.59999847,50.29999924,33.29999924
01/12/2025,64.80000305,60.59999847,50.29999924,33
01/12/2025,64.80000305,60.79999924,50.40000153,32.79999924
01/12/2025,64.80000305,60.70000076,50.40000153,32.59999847
01/12/2025,64.80000305,60.79999924,50.40000153,32.5
01/12/2025,64.80000305,60.90000153,50.40000153,32.09999847
01/12/2025,64.90000153,61,50.40000153,31.89999962
01/12/2025,64.90000153,61,50.5,31.70000076
01/12/2025,64.90000153,61,50.5,31.5
01/12/2025,65,60.90000153,50.5,31.39999962
01/12/2025,65,60.79999924,50.5,31.10000038
01/12/2025,65.09999847,60.90000153,50.59999847,28.20000076
01/12/2025,65.09999847,60.90000153,50.59999847,25
01/12/2025,65.09999847,60.79999924,50.59999847,23.29999924
01/12/2025,65.09999847,60.90000153,50.59999847,21.79999924
01/12/2025,65.19999695,60.90000153,50.59999847,20.70000076
01/12/2025,65.5,60.90000153,50.5,19.70000076
01/12/2025,65.59999847,61,50.5,18.79999924
01/12/2025,65.69999695,61,50.5,18.10000038
01/12/2025,65.59999847,61.09999847,50.59999847,17.39999962
01/12/2025,65.59999847,61.20000076,50.59999847,16.79999924
01/12/2025,65.59999847,61,50.59999847,16.39999962
01/12/2025,65.59999847,61,50.59999847,16
01/12/2025,65.59999847,61.09999847,50.59999847,15.69999981
01/12/2025,65.5,61.09999847,50.59999847,15.5
01/12/2025,65.5,61.09999847,50.59999847,15.19999981
01/12/2025,65.5,61,50.59999847,14.89999962
01/12/2025,65.5,60.90000153,50.59999847,14.69999981
01/12/2025,65.5,61,50.59999847,14.39999962
01/12/2025,65.5,61.09999847,50.59999847,14.30000019
01/12/2025,65.5,61.20000076,50.59999847,14
01/12/2025,65.5,61.20000076,50.59999847,13.89999962
01/12/2025,65.5,61.09999847,50.59999847,13.60000038
01/12/2025,65.5,61,50.59999847,13.39999962
01/12/2025,65.5,61.09999847,50.59999847,13.19999981
01/12/2025,65.59999847,61.20000076,50.59999847,13.19999981
01/12/2025,65.69999695,61.20000076,50.59999847,13.19999981
01/12/2025,65.69999695,61.40000153,50.70000076,13.10000038
01/12/2025,65.69999695,61.40000153,50.59999847,13.10000038
01/12/2025,65.69999695,61,50.70000076,13
01/12/2025,65.90000153,61.09999847,50.70000076,12.89999962
01/12/2025,65.90000153,61.09999847,50.59999847,12.80000019
01/12/2025,65.80000305,61.09999847,50.59999847,12.69999981
01/12/2025,65.69999695,61.20000076,50.70000076,12.5
01/12/2025,65.69999695,61.09999847,50.59999847,12.30000019
01/12/2025,65.69999695,61.09999847,50.59999847,12.30000019
01/12/2025,65.69999695,61.20000076,50.70000076,12.10000038
01/12/2025,65.69999695,61.29999924,50.70000076,12
01/12/2025,65.59999847,61.40000153,50.70000076,11.89999962
01/12/2025,65.59999847,61.40000153,50.70000076,11.89999962
01/12/2025,65.5,61.29999924,50.59999847,11.69999981
01/12/2025,65.5,60.90000153,50.59999847,11.60000038
01/12/2025,65.5,60.29999924,50.70000076,11.60000038
01/12/2025,65.5,59.70000076,50.70000076,11.39999962
01/12/2025,65.59999847,58.20000076,50.70000076,11.19999981
01/12/2025,65.59999847,55.90000153,50.59999847,11.19999981
01/12/2025,65.5,54,50.59999847,11.10000038
01/12/2025,65.59999847,52.59999847,50.59999847,11.10000038
01/12/2025,65.59999847,51.5,50.70000076,10.89999962
01/12/2025,65.59999847,50.59999847,50.79999924,11
01/12/2025,65.59999847,49.79999924,50.79999924,10.80000019
01/12/2025,65.59999847,49.20000076,50.79999924,10.80000019
01/12/2025,65.69999695,48.5,50.79999924,10.69999981
01/12/2025,65.59999847,47.90000153,50.79999924,10.60000038
01/12/2025,65.59999847,47.40000153,50.79999924,10.60000038
01/12/2025,65.69999695,46.79999924,50.79999924,10.5
01/12/2025,65.80000305,46.29999924,50.79999924,10.5
01/12/2025,65.80000305,45.79999924,50.79999924,10.39999962
01/12/2025,65.80000305,45.5,50.79999924,10.39999962
01/12/2025,65.69999695,45.09999847,50.79999924,10.30000019
01/12/2025,65.69999695,44.70000076,50.59999847,10.30000019
01/12/2025,65.59999847,44.29999924,50.79999924,10.19999981
01/12/2025,65.59999847,43.90000153,50.79999924,10.19999981
01/12/2025,65.5,43.59999847,50.79999924,10.19999981
01/12/2025,65.5,43.09999847,50.79999924,10
01/12/2025,65.5,42.90000153,50.79999924,10
01/12/2025,65.5,42.5,50.79999924,10
01/12/2025,65.40000153,42.29999924,50.79999924,9.899999619
01/12/2025,65.5,41.90000153,50.79999924,9.899999619
01/12/2025,65.40000153,41.59999847,50.79999924,9.899999619
01/12/2025,65.5,41.29999924,50.79999924,9.899999619
01/12/2025,65.59999847,41,50.79999924,9.800000191
01/12/2025,65.5,40.79999924,50.79999924,9.699999809
01/12/2025,65.5,40.5,50.79999924,9.699999809
01/12/2025,65.69999695,40.29999924,50.79999924,9.699999809
01/12/2025,65.69999695,40.09999847,50.79999924,9.699999809
01/12/2025,65.69999695,39.70000076,50.79999924,9.600000381
01/12/2025,65.69999695,39.5,50.79999924,9.600000381
01/12/2025,65.69999695,39.20000076,50.79999924,9.5
01/12/2025,65.59999847,39.09999847,50.90000153,9.5
01/12/2025,65.59999847,38.79999924,50.79999924,9.399999619
01/12/2025,65.59999847,38.59999847,50.79999924,9.300000191
01/12/2025,65.5,38.40000153,50.90000153,9.300000191
01/12/2025,65.5,38.20000076,50.90000153,9.300000191
01/12/2025,65.40000153,38.09999847,50.90000153,9.300000191
01/12/2025,65.40000153,38,50.90000153,9.300000191
01/12/2025,65.40000153,37.79999924,51,9.300000191
01/12/2025,65.5,37.59999847,51,9.199999809
01/12/2025,65.5,37.40000153,51,9.199999809
01/12/2025,65.5,37.29999924,51,9.100000381
01/12/2025,65.5,37.09999847,51.09999847,9
01/12/2025,65.5,36.90000153,51,9.100000381
01/12/2025,65.5,36.79999924,51,8.899999619
01/12/2025,65.5,36.59999847,51,8.899999619
01/12/2025,65.40000153,36.5,51.09999847,8.800000191
01/12/2025,65.5,36.29999924,51.09999847,8.800000191
01/12/2025,65.69999695,36.20000076,51.09999847,8.699999809
01/12/2025,65.69999695,36,51.09999847,8.600000381
01/12/2025,65.59999847,35.90000153,51.09999847,8.5
01/12/2025,65.69999695,35.70000076,51.09999847,8.399999619
01/12/2025,65.59999847,35.59999847,51.09999847,8.399999619
01/12/2025,65.59999847,35.40000153,51.09999847,8.399999619
01/12/2025,65.5,35.20000076,51.09999847,8.199999809
01/12/2025,65.5,35,51.09999847,8.100000381
01/12/2025,65.40000153,34.79999924,51.20000076,8.100000381
01/12/2025,65.40000153,34.79999924,51.20000076,8
01/12/2025,65.40000153,34.5,51.20000076,8
01/12/2025,65.40000153,34.29999924,51.09999847,8
01/12/2025,65.40000153,34.09999847,51.29999924,7.900000095
01/12/2025,65.40000153,34,51.29999924,7.800000191
01/12/2025,65.40000153,33.90000153,51.29999924,7.800000191
01/12/2025,65.40000153,33.70000076,51.29999924,7.800000191
01/12/2025,65.30000305,33.5,51.29999924,7.699999809
01/12/2025,65.40000153,36,51.40000153,7.699999809
01/12/2025,65.40000153,47.29999924,51.40000153,7.599999905
01/12/2025,65.59999847,50.5,51.5,7.5
01/12/2025,65.69999695,50.79999924,51.5,7.599999905
01/12/2025,65.69999695,50.40000153,51.40000153,7.599999905
01/12/2025,65.59999847,49.59999847,51.40000153,7.699999809
01/12/2025,65.59999847,48.70000076,51.40000153,7.599999905
01/12/2025,65.5,47.90000153,51.40000153,7.599999905
01/12/2025,65.5,47,51.5,7.800000191
01/12/2025,65.5,46.20000076,51.5,8
01/12/2025,65.40000153,45.5,51.5,8.199999809
01/12/2025,65.30000305,44.59999847,51.59999847,8.399999619
01/12/2025,65.40000153,43.90000153,51.59999847,8.399999619
01/12/2025,65.40000153,43.09999847,51.59999847,8.600000381
01/12/2025,65.40000153,42.5,51.70000076,8.600000381
01/12/2025,65.5,42,51.70000076,8.800000191
01/12/2025,65.5,41.40000153,51.70000076,8.800000191
01/12/2025,65.5,40.59999847,51.70000076,8.800000191
01/12/2025,65.5,40,51.79999924,8.800000191
01/12/2025,65.5,39.5,51.79999924,8.600000381
01/12/2025,65.40000153,39,51.79999924,8.5
01/12/2025,65.5,38.59999847,51.79999924,8.399999619
01/12/2025,65.59999847,38.20000076,51.79999924,8.199999809
01/12/2025,65.69999695,37.79999924,51.90000153,8.100000381
01/12/2025,65.69999695,37.59999847,51.90000153,8
01/12/2025,65.59999847,37.40000153,51.90000153,7.900000095
01/12/2025,65.59999847,37.29999924,51.90000153,7.800000191
01/12/2025,65.59999847,37.20000076,51.90000153,7.800000191
01/12/2025,65.59999847,37.09999847,52,7.699999809
01/12/2025,65.59999847,37.09999847,52.09999847,7.599999905
01/12/2025,65.5,37.09999847,52.09999847,7.5
01/12/2025,65.5,36.90000153,52.09999847,7.5
01/12/2025,65.30000305,37,52.20000076,7.5
01/12/2025,65.30000305,37,52.20000076,7.5
01/12/2025,65.30000305,37.09999847,52.29999924,7.400000095
01/12/2025,65.40000153,37.09999847,52.29999924,7.400000095
01/12/2025,65.5,37.20000076,52.29999924,7.400000095
01/12/2025,65.59999847,37.5,52.40000153,7.300000191
01/12/2025,65.5,38.40000153,52.40000153,7.300000191
01/12/2025,65.5,39.5,52.40000153,7.300000191
01/12/2025,65.5,40.29999924,52.5,7.300000191
01/12/2025,65.69999695,40.79999924,52.59999847,7.199999809
01/12/2025,65.69999695,41.20000076,52.59999847,7.199999809
01/12/2025,65.80000305,41.40000153,52.59999847,7.099999905
01/12/2025,65.69999695,41.59999847,52.59999847,7.099999905
01/12/2025,65.59999847,41.79999924,52.59999847,7.099999905
01/12/2025,65.69999695,41.79999924,52.70000076,7.199999809
01/12/2025,65.59999847,41.90000153,52.79999924,7.099999905
01/12/2025,65.59999847,42.09999847,52.79999924,7.199999809
01/12/2025,65.5,42.09999847,52.79999924,7.300000191
01/12/2025,65.5,42.29999924,52.90000153,7.5
01/12/2025,65.5,42.29999924,52.90000153,7.5
01/12/2025,65.5,42.5,53,7.699999809
01/12/2025,65.5,42.5,53.09999847,7.800000191
01/12/2025,65.59999847,42.59999847,53.20000076,7.800000191
01/12/2025,65.5,42.70000076,53.20000076,7.800000191
01/12/2025,65.5,42.79999924,53.20000076,7.900000095
01/12/2025,65.5,42.90000153,53.20000076,7.900000095
01/12/2025,65.59999847,42.90000153,53.40000153,8
