# A Mass flow rate [kg/h] 
# Avg: 76032.6316
# Median: 72854.0634
# Mode: 0.0000
# Max: 218864.7400
# Min: -9986.9362

Index,Date,Trigger,A Flow velocity [m/s],A Mass flow rate [kg/h],A Sound speed [m/s],A Transducer temp. (->) [�C],A Transducer temp. (>-) [�C]
99,12/2/2025 11:03:22 AM,0,0.93199992179871,71187.712097168,1583.54699707031,16,17
100,12/2/2025 11:03:23 AM,0,0.93599998950958,71401.094055175,1583.54296875,16,17
101,12/2/2025 11:03:24 AM,0,0.93799984455109,71616.755676269,1583.54296875,16,17
102,12/2/2025 11:03:25 AM,0,0.93999993801117,71778.776550293,1583.5400390625,16,17
103,12/2/2025 11:03:26 AM,0,0.94399988651275,72075.366210938,1583.55004882812,16,17
104,12/2/2025 11:03:27 AM,0,0.95099997520446,72557.130432129,1583.56201171875,16,17
105,12/2/2025 11:03:28 AM,0,0.95099997520447,72582.591247559,1583.56201171875,16,17
106,12/2/2025 11:03:29 AM,0,0.95099997520447,72610.83984375,1583.57604980469,16,17
107,12/2/2025 11:03:30 AM,0,0.95200002193451,72640.379333496,1583.59204101562,16,17
108,12/2/2025 11:03:31 AM,0,0.95300006866455,72742.208862305,1583.61096191406,16,17
109,12/2/2025 11:03:32 AM,0,0.95800006389618,73157.945251465,1583.61096191406,16,17
110,12/2/2025 11:03:33 AM,0,0.95899987220764,73190.629577636,1583.626953125,16,17
111,12/2/2025 11:03:34 AM,0,0.95599985122681,72963.088989258,1583.64501953125,16,17
112,12/2/2025 11:03:35 AM,0,0.95599997043609,73007.913208008,1583.64904785156,16,17
113,12/2/2025 11:03:36 AM,0,0.95700013637543,73071.826171875,1583.65502929688,16,17
114,12/2/2025 11:03:37 AM,0,0.95399987697601,72785.549926757,1583.65502929688,16,17
115,12/2/2025 11:03:38 AM,0,0.94599997997284,72194.718933106,1583.666015625,16,17
116,12/2/2025 11:03:39 AM,0,0.93799996376038,71600.317382812,1583.67102050781,16,17
117,12/2/2025 11:03:40 AM,0,0.93299996852875,71245.074462891,1583.67102050781,16,17
118,12/2/2025 11:03:41 AM,0,0.93299996852874,71245.198059082,1583.67700195312,16,17
119,12/2/2025 11:03:42 AM,0,0.91799998283386,70097.428894043,1583.68896484375,16,17
120,12/2/2025 11:03:43 AM,0,0.89399993419647,68219.79675293,1583.69799804688,16,17
121,12/2/2025 11:03:44 AM,0,0.85899984836579,65546.081542969,1583.70300292969,16,17
122,12/2/2025 11:03:45 AM,0,0.80599999427795,61541.331481934,1583.70300292969,16,17
123,12/2/2025 11:03:46 AM,0,0.73399996757508,56029.943847656,1583.70104980469,16,17
124,12/2/2025 11:03:47 AM,0,0.6470000743866,49383.325195312,1583.69799804688,16,17
125,12/2/2025 11:03:48 AM,0,0.61099994182586,46683.929443359,1583.69494628906,16,17
126,12/2/2025 11:03:49 AM,0,0.52800011634827,40279.998779297,1583.69494628906,16,17
127,12/2/2025 11:03:50 AM,0,0.48899984359742,37294.573974609,1583.68994140625,16,17
128,12/2/2025 11:03:51 AM,0,0.46099996566772,35195.567321777,1583.69104003906,16,17
129,12/2/2025 11:03:52 AM,0,0.4390001296997,33557.341003418,1583.69604492188,16,17
130,12/2/2025 11:03:53 AM,0,0.4210000038147,32146.737670899,1583.69604492188,16,17
131,12/2/2025 11:03:54 AM,0,0.40199995040894,30646.238708496,1583.69604492188,16,17
132,12/2/2025 11:03:55 AM,0,0.37800002098084,28864.311218262,1583.69604492188,16,17
133,12/2/2025 11:03:56 AM,0,0.3659999370575,27886.514282226,1583.69299316406,16,17
134,12/2/2025 11:03:57 AM,0,0.34899997711181,26649.398803711,1583.69396972656,16,17
135,12/2/2025 11:03:58 AM,0,0.3219997882843,24616.40625,1583.69299316406,16,17
136,12/2/2025 11:03:59 AM,0,0.30200004577636,23072.250366211,1583.69299316406,16,17
137,12/2/2025 11:04:00 AM,0,0.27900004386902,21267.553710938,1583.69201660156,16,17
138,12/2/2025 11:04:01 AM,0,0.26900005340577,20572.970581054,1583.68798828125,16,17
139,12/2/2025 11:04:02 AM,0,0.26900005340576,20548.553466797,1583.67395019531,16,17
140,12/2/2025 11:04:03 AM,0,0.26600003242493,20267.811584473,1583.67395019531,16,17
141,12/2/2025 11:04:04 AM,0,0.26800012588501,20452.697753906,1583.66394042969,16,17
142,12/2/2025 11:04:05 AM,0,0.2630000114441,20066.981506347,1583.66296386719,16,17
143,12/2/2025 11:04:06 AM,0,0.25699996948242,19596.011352539,1583.65698242188,16,17
144,12/2/2025 11:04:07 AM,0,0.25800013542176,19664.538574219,1583.65698242188,16,17
145,12/2/2025 11:04:08 AM,0,0.2519998550415,19249.008178711,1583.6650390625,16,17
146,12/2/2025 11:04:09 AM,0,0.25600004196167,19485.33782959,1583.66796875,16,17
147,12/2/2025 11:04:10 AM,0,0.25600004196167,19539.802551269,1583.67004394531,16,17
148,12/2/2025 11:04:11 AM,0,0.25300002098084,19311.135864258,1583.67004394531,16,17
149,12/2/2025 11:04:12 AM,0,0.2519998550415,19257.316589356,1583.67297363281,16,17
150,12/2/2025 11:04:13 AM,0,0.25099992752075,19178.6819458,1583.67395019531,16,17
151,12/2/2025 11:04:14 AM,0,0.24900007247925,18998.725891114,1583.67102050781,16,17
152,12/2/2025 11:04:15 AM,0,0.25399994850158,19450.044250488,1583.67102050781,16,17
153,12/2/2025 11:04:16 AM,0,0.26400017738342,20147.97821045,1583.6689453125,16,17
154,12/2/2025 11:04:17 AM,0,0.26699995994568,20386.766052246,1583.66394042969,16,17
155,12/2/2025 11:04:18 AM,0,0.27100014686584,20669.279479981,1583.66003417969,16,17
156,12/2/2025 11:04:19 AM,0,0.27500009536743,21006.6696167,1583.65502929688,16,17
157,12/2/2025 11:04:20 AM,0,0.27800011634827,21226.094055175,1583.65502929688,16,17
158,12/2/2025 11:04:21 AM,0,0.2810001373291,21427.102661133,1583.64001464844,16,17
159,12/2/2025 11:04:22 AM,0,0.27899980545044,21256.690979004,1583.63403320312,16,17
160,12/2/2025 11:04:23 AM,0,0.28299999237061,21628.07006836,1583.61694335938,16,17
161,12/2/2025 11:04:24 AM,0,0.28500008583069,21810.539245605,1583.61694335938,16,17
162,12/2/2025 11:04:25 AM,0,0.28600001335144,21840.202331543,1583.59399414062,16,17
163,12/2/2025 11:04:26 AM,0,0.27999997138977,21379.957580566,1583.5830078125,16,17
164,12/2/2025 11:04:27 AM,0,0.27999997138977,21381.564331055,1583.57495117188,16,17
165,12/2/2025 11:04:28 AM,0,0.28399991989136,21636.254882813,1583.55603027344,16,17
166,12/2/2025 11:04:29 AM,0,0.27900004386901,21258.901977539,1583.55603027344,16,17
167,12/2/2025 11:04:30 AM,0,0.27999997138977,21330.725097656,1583.54797363281,16,17
168,12/2/2025 11:04:31 AM,0,0.27799987792969,21198.408508301,1583.54602050781,17,17
169,12/2/2025 11:04:32 AM,0,0.27699995040893,21163.19732666,1583.52099609375,17,17
170,12/2/2025 11:04:33 AM,0,0.28200006484986,21507.330322265,1583.52099609375,17,17
171,12/2/2025 11:04:34 AM,0,0.27999997138977,21424.397277833,1583.5009765625,17,17
172,12/2/2025 11:04:35 AM,0,0.27800011634827,21187.435913086,1583.48706054688,17,17
173,12/2/2025 11:04:36 AM,0,0.27800011634827,21226.602172851,1583.46105957031,17,17
174,12/2/2025 11:04:37 AM,0,0.27900004386902,21250.607299804,1583.46496582031,17,17
175,12/2/2025 11:04:38 AM,0,0.27700018882752,21166.232299805,1583.46496582031,17,17
176,12/2/2025 11:04:39 AM,0,0.28099989891052,21465.335083007,1583.46899414062,17,17
177,12/2/2025 11:04:40 AM,0,0.28200006484986,21541.0446167,1583.46801757812,17,17
178,12/2/2025 11:04:41 AM,0,0.2720000743866,20739.715576172,1583.46594238281,16,17
179,12/2/2025 11:04:42 AM,0,0.26799988746643,20486.563110352,1583.46594238281,16,17
180,12/2/2025 11:04:43 AM,0,0.27100014686585,20683.836364746,1583.46496582031,16,17
181,12/2/2025 11:04:44 AM,0,0.19799995422363,15123.889160157,1583.47094726562,16,17
182,12/2/2025 11:04:45 AM,0,0.10500001907349,7979.42504882801,1583.46496582031,16,17
183,12/2/2025 11:04:46 AM,0,0.00800001621246982,629.557800292998,1583.47998046875,16,17
184,12/2/2025 11:04:47 AM,0,-0.09300005435944,-7113.08441162101,1583.47998046875,16,17
185,12/2/2025 11:04:48 AM,0,-0.13100004196167,-9986.93618774391,1583.48205566406,16,17
186,12/2/2025 11:04:49 AM,0,0.06699991226196,5053.85513305661,1583.48498535156,16,17
187,12/2/2025 11:04:50 AM,0,0.040000021457672,3022.5997924805,1583.49304199219,16,17
188,12/2/2025 11:04:51 AM,0,0.042999982833863,3340.0978088379,1583.49304199219,16,17
189,12/2/2025 11:04:52 AM,0,0.032999992370605,2509.8232269288,1583.49597167969,16,17
190,12/2/2025 11:04:53 AM,0,0.0410000085830691,3119.9558258057,1583.4990234375,16,17
191,12/2/2025 11:04:54 AM,0,0.051999986171723,3921.3157653809,1583.501953125,16,17
192,12/2/2025 11:04:55 AM,0,-0.0600000023841851,-4584.5775604248,1583.501953125,16,17
193,12/2/2025 11:04:56 AM,0,-0.076999992132187,-5904.9814224243,1583.51293945312,16,17
194,12/2/2025 11:04:57 AM,0,-0.041000008583068,-3114.560508728,1583.51904296875,16,17
195,12/2/2025 11:04:58 AM,0,-0.00699998438358301,-541.577911376902,1583.52197265625,16,17
196,12/2/2025 11:04:59 AM,0,-0.068000003695488,-5194.9049949646,1583.52197265625,16,17
197,12/2/2025 11:05:00 AM,0,-0.105000007897616,-7995.50950527192,1583.53002929688,16,17
198,12/2/2025 11:05:01 AM,0,-0.0109999999403954,-895.94256877899,1583.53100585938,16,17
199,12/2/2025 11:05:02 AM,0,0,0,1583.53100585938,16,17
200,12/2/2025 11:05:03 AM,0,0,0,1583.52795410156,16,17
201,12/2/2025 11:05:04 AM,0,0,0,1583.53100585938,16,17
202,12/2/2025 11:05:05 AM,0,0,0,1583.53405761719,16,17
203,12/2/2025 11:05:06 AM,0,0,0,1583.541015625,16,17
204,12/2/2025 11:05:07 AM,0,0,0,1583.541015625,16,17
205,12/2/2025 11:05:08 AM,0,0,0,1583.5400390625,16,17
206,12/2/2025 11:05:09 AM,0,0,0,1583.53503417969,16,17
207,12/2/2025 11:05:10 AM,0,0,0,1583.52795410156,16,17
208,12/2/2025 11:05:11 AM,0,0,0,1583.53002929688,16,17
209,12/2/2025 11:05:12 AM,0,0,0,1583.53002929688,16,17
210,12/2/2025 11:05:13 AM,0,0,0,1583.52502441406,16,17
211,12/2/2025 11:05:14 AM,0,0,0,1583.52697753906,16,17
212,12/2/2025 11:05:15 AM,0,0,0,1583.52502441406,16,17
213,12/2/2025 11:05:16 AM,0,0,0,1583.52502441406,16,17
214,12/2/2025 11:05:17 AM,0,0,0,1583.52294921875,16,17
215,12/2/2025 11:05:18 AM,0,0,0,1583.52099609375,16,17
216,12/2/2025 11:05:19 AM,0,0,0,1583.52001953125,16,17
217,12/2/2025 11:05:20 AM,0,0,0,1583.52404785156,16,17
218,12/2/2025 11:05:21 AM,0,0,0,1583.52795410156,16,17
219,12/2/2025 11:05:22 AM,0,0,0,1583.52795410156,16,17
220,12/2/2025 11:05:23 AM,0,0,0,1583.52795410156,16,17
