# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 06.05.2026
# TIME             : 11:52:21
# Par.Record       :
# Meas. Point No.: : B:000
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       4.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      16.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       544

TIME;TIME;TIME;CHANNEL;MEASURE;AMP;SCNR;TIME
11:54:08;11:54:08;11:54:08;B;???;11.0;11:54:08
11:54:09;11:54:09;11:54:09;B;???;11.0;11:54:09
11:54:10;11:54:10;11:54:10;B;???;11.0;11:54:10
11:54:11;11:54:11;11:54:11;B;???;11.0;11:54:11
11:54:12;11:54:12;11:54:12;B;???;11.0;11:54:12
11:54:13;11:54:13;11:54:13;B;???;11.0;11:54:13
11:54:14;11:54:14;11:54:14;B;???;11.0;11:54:14
11:54:15;11:54:15;11:54:15;B;???;11.0;11:54:15
11:54:16;11:54:16;11:54:16;B;???;11.0;11:54:16
11:54:17;11:54:17;11:54:17;B;???;11.0;11:54:17
11:54:18;11:54:18;11:54:18;B;???;11.0;11:54:18
11:54:19;11:54:19;11:54:19;B;???;11.0;11:54:19
11:54:20;11:54:20;11:54:20;B;???;11.0;11:54:20
11:54:21;11:54:21;11:54:21;B;???;11.0;11:54:21
11:54:22;11:54:22;11:54:22;B;???;11.0;11:54:22
11:54:23;11:54:23;11:54:23;B;???;11.0;11:54:23
11:54:24;11:54:24;11:54:24;B;???;11.0;11:54:24
11:54:25;11:54:25;11:54:25;B;???;11.0;11:54:25
11:54:26;11:54:26;11:54:26;B;???;11.0;11:54:26
11:54:27;11:54:27;11:54:27;B;???;11.0;11:54:27
11:54:28;11:54:28;11:54:28;B;???;11.0;11:54:28
11:54:29;11:54:29;11:54:29;B;???;11.0;11:54:29
11:54:30;11:54:30;11:54:30;B;???;11.0;11:54:30
11:54:31;11:54:31;11:54:31;B;???;11.0;11:54:31
11:54:32;11:54:32;11:54:32;B;???;11.0;11:54:32
11:54:33;11:54:33;11:54:33;B;???;11.0;11:54:33
11:54:34;11:54:34;11:54:34;B;???;11.0;11:54:34
11:54:35;11:54:35;11:54:35;B;???;11.0;11:54:35
11:54:36;11:54:36;11:54:36;B;???;11.0;11:54:36
11:54:37;11:54:37;11:54:37;B;???;11.0;11:54:37
11:54:38;11:54:38;11:54:38;B;???;11.0;11:54:38
11:54:39;11:54:39;11:54:39;B;???;11.0;11:54:39
11:54:40;11:54:40;11:54:40;B;???;11.0;11:54:40
11:54:41;11:54:41;11:54:41;B;???;11.0;11:54:41
11:54:42;11:54:42;11:54:42;B;???;11.0;11:54:42
11:54:43;11:54:43;11:54:43;B;???;11.0;11:54:43
11:54:44;11:54:44;11:54:44;B;???;11.0;11:54:44
11:54:45;11:54:45;11:54:45;B;???;11.0;11:54:45
11:54:46;11:54:46;11:54:46;B;???;11.0;11:54:46
11:54:47;11:54:47;11:54:47;B;???;11.0;11:54:47
11:54:48;11:54:48;11:54:48;B;???;11.0;11:54:48
11:54:49;11:54:49;11:54:49;B;???;11.0;11:54:49
11:54:50;11:54:50;11:54:50;B;???;11.0;11:54:50
11:54:51;11:54:51;11:54:51;B;???;11.0;11:54:51
11:54:52;11:54:52;11:54:52;B;???;11.0;11:54:52
11:54:53;11:54:53;11:54:53;B;???;11.0;11:54:53
11:54:54;11:54:54;11:54:54;B;???;11.0;11:54:54
11:54:55;11:54:55;11:54:55;B;???;11.0;11:54:55
11:54:56;11:54:56;11:54:56;B;???;11.0;11:54:56
11:54:57;11:54:57;11:54:57;B;???;11.0;11:54:57
11:54:58;11:54:58;11:54:58;B;???;11.0;11:54:58
11:54:59;11:54:59;11:54:59;B;???;11.0;11:54:59
11:55:00;11:55:00;11:55:00;B;???;11.0;11:55:00
11:55:01;11:55:01;11:55:01;B;???;11.0;11:55:01
11:55:02;11:55:02;11:55:02;B;???;11.0;11:55:02
11:55:03;11:55:03;11:55:03;B;???;11.0;11:55:03
11:55:04;11:55:04;11:55:04;B;???;12.0;11:55:04
11:55:05;11:55:05;11:55:05;B;???;12.0;11:55:05
11:55:06;11:55:06;11:55:06;B;???;12.0;11:55:06
11:55:07;11:55:07;11:55:07;B;???;11.0;11:55:07
11:55:08;11:55:08;11:55:08;B;???;11.0;11:55:08
11:55:09;11:55:09;11:55:09;B;???;11.0;11:55:09
11:55:10;11:55:10;11:55:10;B;???;11.0;11:55:10
11:55:11;11:55:11;11:55:11;B;???;11.0;11:55:11
11:55:12;11:55:12;11:55:12;B;???;11.0;11:55:12
11:55:13;11:55:13;11:55:13;B;???;11.0;11:55:13
11:55:14;11:55:14;11:55:14;B;???;11.0;11:55:14
11:55:15;11:55:15;11:55:15;B;???;11.0;11:55:15
11:55:16;11:55:16;11:55:16;B;???;11.0;11:55:16
11:55:17;11:55:17;11:55:17;B;???;11.0;11:55:17
11:55:18;11:55:18;11:55:18;B;???;11.0;11:55:18
11:55:19;11:55:19;11:55:19;B;???;11.0;11:55:19
11:55:20;11:55:20;11:55:20;B;???;11.0;11:55:20
11:55:21;11:55:21;11:55:21;B;???;11.0;11:55:21
11:55:22;11:55:22;11:55:22;B;???;11.0;11:55:22
11:55:23;11:55:23;11:55:23;B;???;11.0;11:55:23
11:55:24;11:55:24;11:55:24;B;???;11.0;11:55:24
11:55:25;11:55:25;11:55:25;B;???;11.0;11:55:25
11:55:26;11:55:26;11:55:26;B;???;11.0;11:55:26
11:55:27;11:55:27;11:55:27;B;???;11.0;11:55:27
11:55:28;11:55:28;11:55:28;B;???;11.0;11:55:28
11:55:29;11:55:29;11:55:29;B;???;11.0;11:55:29
11:55:30;11:55:30;11:55:30;B;???;11.0;11:55:30
11:55:31;11:55:31;11:55:31;B;???;11.0;11:55:31
11:55:32;11:55:32;11:55:32;B;???;11.0;11:55:32
11:55:33;11:55:33;11:55:33;B;???;11.0;11:55:33
11:55:34;11:55:34;11:55:34;B;???;11.0;11:55:34
11:55:35;11:55:35;11:55:35;B;???;11.0;11:55:35
11:55:36;11:55:36;11:55:36;B;???;11.0;11:55:36
11:55:37;11:55:37;11:55:37;B;???;11.0;11:55:37
11:55:38;11:55:38;11:55:38;B;???;11.0;11:55:38
11:55:39;11:55:39;11:55:39;B;???;11.0;11:55:39
11:55:40;11:55:40;11:55:40;B;???;11.0;11:55:40
11:55:41;11:55:41;11:55:41;B;???;11.0;11:55:41
11:55:42;11:55:42;11:55:42;B;???;11.0;11:55:42
11:55:43;11:55:43;11:55:43;B;???;11.0;11:55:43
11:55:44;11:55:44;11:55:44;B;???;11.0;11:55:44
11:55:45;11:55:45;11:55:45;B;???;11.0;11:55:45
11:55:46;11:55:46;11:55:46;B;???;11.0;11:55:46
11:55:47;11:55:47;11:55:47;B;???;11.0;11:55:47
11:55:48;11:55:48;11:55:48;B;???;11.0;11:55:48
11:55:49;11:55:49;11:55:49;B;???;11.0;11:55:49
11:55:50;11:55:50;11:55:50;B;???;11.0;11:55:50
11:55:51;11:55:51;11:55:51;B;???;11.0;11:55:51
11:55:52;11:55:52;11:55:52;B;???;11.0;11:55:52
11:55:53;11:55:53;11:55:53;B;???;11.0;11:55:53
11:55:54;11:55:54;11:55:54;B;???;11.0;11:55:54
11:55:55;11:55:55;11:55:55;B;???;11.0;11:55:55
11:55:56;11:55:56;11:55:56;B;???;11.0;11:55:56
11:55:57;11:55:57;11:55:57;B;???;11.0;11:55:57
