source,target,cabal,planta,nom,0,Unnamed: 7,Unnamed: 8,color,Unnamed: 10
3100.03,3102.0,40,PEC,3100.03-3102,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
23.0,5600.0,10,SS-600,23-5600,6,46.36363636363637,208.63636363636363,"rgba(208.636363636364,46.3636363636364,127.5, 0.4)",
24.0,56000.0,5,SS-6000,24-56000,7,54.09090909090909,200.9090909090909,"rgba(200.909090909091,54.0909090909091,127.5, 0.4)",
24.0,52100.01,5,SS-2100/SS-2200,,8,61.81818181818182,193.1818181818182,"rgba(193.181818181818,61.8181818181818,127.5, 0.4)",
52100.01,52100.02,4,SS-2100/SS-2201,52100.01-52100.02,9,69.54545454545455,185.45454545454544,"rgba(185.454545454545,69.5454545454545,127.5, 0.4)",
52100.02,52107.0,2,SS-2100/SS-2202,52100.02-52107,10,77.27272727272728,177.72727272727272,"rgba(177.727272727273,77.2727272727273,127.5, 0.4)",
52100.02,52207.0,2,SS-2100/SS-2203,52100.02-52207,11,85.0,170.0,"rgba(170,85,127.5, 0.4)",
7.0,3700.01,100,E-700,7-3700.01,12,92.72727272727273,162.27272727272725,"rgba(162.272727272727,92.7272727272727,127.5, 0.4)",
3700.01,1120.0,100,E-700,3700.01-1120,12,92.72727272727273,162.27272727272725,"rgba(162.272727272727,92.7272727272727,127.5, 0.4)",
13.0,5800.01,100,SS-800,,13,100.45454545454545,154.54545454545456,"rgba(154.545454545455,100.454545454545,127.5, 0.4)",
5800.01,5802.0,50,SS-800,5800.01-5802,13,100.45454545454545,154.54545454545456,"rgba(154.545454545455,100.454545454545,127.5, 0.4)",
5800.01,5801.0,50,SS-800,5800.01-5801,13,100.45454545454545,154.54545454545456,"rgba(154.545454545455,100.454545454545,127.5, 0.4)",
8.0,5700.01,10,SS-700B,8-5700.01,14,108.18181818181819,146.8181818181818,"rgba(146.818181818182,108.181818181818,127.5, 0.4)",
5700.01,5701.0,10,SS-700B,5700.01-5701,14,108.18181818181819,146.8181818181818,"rgba(146.818181818182,108.181818181818,127.5, 0.4)",
16.0,4671.0,15,Líquid-líquid,16-4671,15,115.9090909090909,139.0909090909091,"rgba(139.090909090909,115.909090909091,127.5, 0.4)",
12.0,4651.0,25,Líquid-líquid,12-4651,15,115.9090909090909,139.0909090909091,"rgba(139.090909090909,115.909090909091,127.5, 0.4)",
17.0,4501.0,10,P-600,17-4501,16,123.63636363636364,131.36363636363637,"rgba(131.363636363636,123.636363636364,127.5, 0.4)",
9.0,4700.01,50,V-700/V-800,9-4700.01,17,131.36363636363637,123.63636363636363,"rgba(123.636363636364,131.363636363636,127.5, 0.4)",
4700.01,4700.02,40,V-700/V-801,4700.01-4700.02,18,139.0909090909091,115.9090909090909,"rgba(115.909090909091,139.090909090909,127.5, 0.4)",
4700.02,4810.0,20,V-700/V-802,4700.02-4810,19,146.81818181818184,108.18181818181816,"rgba(108.181818181818,146.818181818182,127.5, 0.4)",
4700.02,4710.0,20,V-700/V-803,4700.02-4710,20,154.54545454545456,100.45454545454544,"rgba(100.454545454545,154.545454545455,127.5, 0.4)",
4700.01,4740.0,10,V-700/V-804,4700.01-4740,21,162.27272727272728,92.72727272727272,"rgba(92.7272727272727,162.272727272727,127.5, 0.4)",
10.0,3900.01,300,E-900/E-1000,10-3900.01,22,170.0,85.0,"rgba(85,170,127.5, 0.4)",
3900.01,3900.02,200,E-900/E-1001,,23,177.72727272727275,77.27272727272725,"rgba(77.2727272727273,177.727272727273,127.5, 0.4)",
3900.02,3900.03,100,E-900/E-1002,,24,185.45454545454547,69.54545454545453,"rgba(69.5454545454545,185.454545454545,127.5, 0.4)",
3900.01,31001.0,100,E-900/E-1003,3900.01-31001,25,193.1818181818182,61.81818181818181,"rgba(61.8181818181818,193.181818181818,127.5, 0.4)",
3900.02,3901.0,100,E-900/E-1004,3900.02-3901,26,200.9090909090909,54.09090909090909,"rgba(54.0909090909091,200.909090909091,127.5, 0.4)",
3900.03,31006.0,50,E-900/E-1005,3900.03-31006,27,208.63636363636365,46.363636363636346,"rgba(46.3636363636363,208.636363636364,127.5, 0.4)",
3900.03,3906.0,50,E-900/E-1006,3900.03-3906,28,216.36363636363637,38.636363636363626,"rgba(38.6363636363636,216.363636363636,127.5, 0.4)",
19.0,3800.01,120,E-800,19-3800.01,29,224.0909090909091,30.909090909090907,"rgba(30.9090909090909,224.090909090909,127.5, 0.4)",
3800.01,3801.0,90,E-801,3800.01-3801,30,231.8181818181818,23.181818181818187,"rgba(23.1818181818182,231.818181818182,127.5, 0.4)",
3800.01,3806.0,30,E-802,3800.01-3806,31,239.54545454545456,15.454545454545439,"rgba(15.4545454545454,239.545454545455,127.5, 0.4)",
20.0,4200.01,20,SIL-PEL,20-4200.01,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
4200.01,4202.0,10,SIL-PEL,4200.01-4202,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
4200.01,4201.0,10,SIL-PEL,4200.01-4201,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
21.0,4300.01,10,SIL-PEL,21-4300.01,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
4300.01,4303.0,5,SIL-PEL,4300.01-4303,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
4300.01,4304.0,5,SIL-PEL,4300.01-4304,32,247.27272727272728,7.7272727272727195,"rgba(7.72727272727272,247.272727272727,127.5, 0.4)",
